Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,normal,0.0,40,0,MINMIN,353.14,0, 9, 13, 12, 6, 4, 1, 1, 0, 4, 3, 6, 0, 0, 2, 14, 0, 7, 0, 4, 2, 1, 3, 2, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=13; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=3; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=4; r5.xlarge=2; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.0,40,79,CRITICALPATH,525.0,0, 2, 12, 0, 6, 5, 3, 6, 2, 7, 0, 11, 0, 5, 1, 0, 14, 6, 0, 0, 0, 2, 0, 3, 0, 9, 4,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=12; c5a.xlarge=0; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=3; i3.large=6; i3.xlarge=2; m5.2xlarge=7; m5.large=0; m5.xlarge=11; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=14; m5zn.xlarge=6; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=1; i3.large=3; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=2}
chipseq,normal,0.0,40,79,CRITICALPATHREVERSE,483.04999999999995,0, 4, 12, 0, 3, 3, 1, 3, 2, 6, 0, 6, 2, 3, 2, 0, 16, 10, 0, 0, 0, 1, 1, 2, 0, 16, 5,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=3; i3.2xlarge=1; i3.large=3; i3.xlarge=2; m5.2xlarge=6; m5.large=0; m5.xlarge=6; m5a.2xlarge=2; m5a.large=3; m5a.xlarge=2; m5zn.2xlarge=0; m5zn.large=16; m5zn.xlarge=10; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=16; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=1; i3.large=3; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=2}
chipseq,normal,0.0,40,79,RESHIV2,525.5,0, 2, 12, 0, 5, 6, 3, 3, 2, 7, 0, 7, 1, 2, 1, 0, 14, 6, 0, 0, 0, 6, 1, 2, 0, 14, 4,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=12; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=6; i3.2xlarge=3; i3.large=3; i3.xlarge=2; m5.2xlarge=7; m5.large=0; m5.xlarge=7; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=14; m5zn.xlarge=6; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=6; r5a.large=1; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=14; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=1; i3.large=3; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=2}
chipseq,normal,0.0,40,79,RESHIV3,474.75,0, 2, 12, 0, 6, 7, 0, 3, 2, 4, 0, 12, 1, 1, 2, 0, 14, 6, 0, 0, 0, 3, 2, 2, 0, 15, 4,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=12; c5a.xlarge=0; d3.2xlarge=6; d3.xlarge=7; i3.2xlarge=0; i3.large=3; i3.xlarge=2; m5.2xlarge=4; m5.large=0; m5.xlarge=12; m5a.2xlarge=1; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=0; m5zn.large=14; m5zn.xlarge=6; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=3; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=15; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=1; i3.large=3; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=2}
chipseq,normal,0.0,40,79,RESHIMAX,484.60999999999996,0, 4, 10, 0, 7, 5, 1, 4, 1, 4, 0, 11, 0, 4, 2, 0, 11, 8, 0, 0, 0, 2, 2, 2, 0, 14, 6,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=10; c5a.xlarge=0; d3.2xlarge=7; d3.xlarge=5; i3.2xlarge=1; i3.large=4; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=11; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=2; m5zn.2xlarge=0; m5zn.large=11; m5zn.xlarge=8; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=14; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=1; i3.large=3; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=2}
chipseq,normal,0.0,40,79,RESHIFCFS,485.11999999999995,0, 3, 13, 0, 6, 5, 2, 3, 1, 3, 0, 9, 3, 3, 0, 0, 15, 6, 0, 0, 0, 1, 1, 4, 0, 15, 5,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=13; c5a.xlarge=0; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=2; i3.large=3; i3.xlarge=1; m5.2xlarge=3; m5.large=0; m5.xlarge=9; m5a.2xlarge=3; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=15; m5zn.xlarge=6; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=15; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=1; i3.large=3; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=2}
chipseq,normal,0.0,40,80,MINMIN,402.09,10, 7, 4, 0, 3, 0, 0, 3, 0, 3, 2, 5, 0, 0, 0, 10, 12, 5, 4, 6, 0, 0, 1, 1, 6, 14, 2,{c5.2xlarge=10; c5.xlarge=7; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=0; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=12; m5zn.xlarge=5; r5.2xlarge=4; r5.large=6; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=6; z1d.large=14; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,MAXMIN,475.69999999999993,8, 10, 5, 0, 4, 0, 1, 2, 1, 3, 4, 10, 0, 0, 0, 8, 5, 3, 5, 10, 0, 0, 0, 2, 6, 9, 2,{c5.2xlarge=8; c5.xlarge=10; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=1; i3.large=2; i3.xlarge=1; m5.2xlarge=3; m5.large=4; m5.xlarge=10; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=8; m5zn.large=5; m5zn.xlarge=3; r5.2xlarge=5; r5.large=10; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=2; z1d.2xlarge=6; z1d.large=9; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,MCT,352.85999999999996,10, 9, 5, 0, 2, 0, 0, 1, 2, 3, 1, 5, 0, 0, 0, 11, 14, 3, 2, 8, 0, 0, 1, 1, 8, 10, 2,{c5.2xlarge=10; c5.xlarge=9; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=0; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=11; m5zn.large=14; m5zn.xlarge=3; r5.2xlarge=2; r5.large=8; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=8; z1d.large=10; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,ROUNDROBIN,564.2399999999999,10, 9, 2, 0, 3, 0, 1, 2, 2, 12, 1, 6, 0, 0, 1, 2, 6, 6, 4, 6, 0, 0, 2, 5, 6, 10, 2,{c5.2xlarge=10; c5.xlarge=9; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=0; i3.2xlarge=1; i3.large=2; i3.xlarge=2; m5.2xlarge=12; m5.large=1; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=6; m5zn.xlarge=6; r5.2xlarge=4; r5.large=6; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=5; z1d.2xlarge=6; z1d.large=10; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,STATIC,332.94,10, 7, 3, 0, 3, 0, 1, 1, 0, 4, 1, 6, 0, 0, 1, 12, 10, 4, 4, 13, 0, 0, 1, 0, 6, 8, 3,{c5.2xlarge=10; c5.xlarge=7; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=1; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=12; m5zn.large=10; m5zn.xlarge=4; r5.2xlarge=4; r5.large=13; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=6; z1d.large=8; z1d.xlarge=3},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,NOML,452.19999999999993,11, 12, 4, 0, 0, 0, 2, 2, 0, 7, 1, 7, 0, 0, 3, 6, 4, 3, 5, 9, 0, 0, 1, 3, 4, 8, 6,{c5.2xlarge=11; c5.xlarge=12; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=0; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=7; m5.large=1; m5.xlarge=7; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=6; m5zn.large=4; m5zn.xlarge=3; r5.2xlarge=5; r5.large=9; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=3; z1d.2xlarge=4; z1d.large=8; z1d.xlarge=6},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,CUSTOMCLUSTERNOML,525.0799999999999,8, 6, 2, 0, 6, 0, 1, 0, 2, 6, 1, 5, 0, 0, 2, 8, 7, 4, 12, 4, 0, 0, 1, 2, 9, 10, 2,{c5.2xlarge=8; c5.xlarge=6; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=6; d3.xlarge=0; i3.2xlarge=1; i3.large=0; i3.xlarge=2; m5.2xlarge=6; m5.large=1; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=7; m5zn.xlarge=4; r5.2xlarge=12; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=2; z1d.2xlarge=9; z1d.large=10; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,TEXTDISTANCE,418.48999999999995,8, 9, 4, 0, 5, 0, 1, 2, 3, 12, 3, 12, 0, 0, 2, 5, 5, 2, 6, 5, 0, 0, 2, 1, 6, 4, 1,{c5.2xlarge=8; c5.xlarge=9; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=0; i3.2xlarge=1; i3.large=2; i3.xlarge=3; m5.2xlarge=12; m5.large=3; m5.xlarge=12; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=5; m5zn.large=5; m5zn.xlarge=2; r5.2xlarge=6; r5.large=5; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=6; z1d.large=4; z1d.xlarge=1},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,CRITICALPATH,474.43999999999994,8, 7, 4, 0, 4, 0, 1, 3, 1, 3, 2, 8, 0, 0, 2, 8, 10, 3, 7, 10, 0, 0, 1, 1, 5, 7, 3,{c5.2xlarge=8; c5.xlarge=7; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=1; i3.large=3; i3.xlarge=1; m5.2xlarge=3; m5.large=2; m5.xlarge=8; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=10; m5zn.xlarge=3; r5.2xlarge=7; r5.large=10; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=5; z1d.large=7; z1d.xlarge=3},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,CRITICALPATHREVERSE,481.91999999999996,9, 8, 4, 0, 3, 0, 0, 3, 0, 3, 2, 6, 0, 0, 2, 8, 11, 5, 5, 4, 0, 0, 2, 1, 5, 11, 6,{c5.2xlarge=9; c5.xlarge=8; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=0; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=11; m5zn.xlarge=5; r5.2xlarge=5; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=5; z1d.large=11; z1d.xlarge=6},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,RESHIV2,488.84999999999997,8, 10, 4, 0, 4, 0, 3, 1, 3, 3, 3, 5, 0, 0, 2, 7, 10, 3, 5, 4, 0, 0, 0, 3, 6, 12, 2,{c5.2xlarge=8; c5.xlarge=10; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=3; i3.large=1; i3.xlarge=3; m5.2xlarge=3; m5.large=3; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=7; m5zn.large=10; m5zn.xlarge=3; r5.2xlarge=5; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=6; z1d.large=12; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,RESHIV3,488.84999999999997,8, 11, 4, 0, 4, 0, 1, 1, 2, 3, 2, 7, 0, 0, 0, 7, 10, 3, 6, 5, 0, 0, 1, 2, 6, 13, 2,{c5.2xlarge=8; c5.xlarge=11; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=2; m5.xlarge=7; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=7; m5zn.large=10; m5zn.xlarge=3; r5.2xlarge=6; r5.large=5; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=2; z1d.2xlarge=6; z1d.large=13; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
chipseq,normal,0.0,40,80,RESHIMAX,408.4,7, 12, 3, 0, 4, 0, 1, 0, 2, 4, 2, 7, 0, 0, 1, 8, 8, 3, 3, 10, 0, 0, 2, 3, 5, 8, 5,{c5.2xlarge=7; c5.xlarge=12; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=1; i3.large=0; i3.xlarge=2; m5.2xlarge=4; m5.large=2; m5.xlarge=7; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=8; m5zn.large=8; m5zn.xlarge=3; r5.2xlarge=3; r5.large=10; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=3; z1d.2xlarge=5; z1d.large=8; z1d.xlarge=5},{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=3; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=2; m5zn.large=2; m5zn.xlarge=1; r5.2xlarge=4; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=3; z1d.xlarge=1}
